Depth,Biostratigraphy,Reliability,MUD_VOLUME,TVD,GR,Core_depofacies
25.1462,-9999,2,-9999,25.1462,-9999,-9999
25.2986,-9999,2,-9999,25.2986,-9999,-9999
25.451,-9999,2,-9999,25.451,-9999,-9999
25.6034,-9999,2,-9999,25.6034,-9999,-9999
25.7558,-9999,2,-9999,25.7558,-9999,-9999
25.9082,-9999,2,-9999,25.9082,-9999,-9999
26.0606,-9999,2,-9999,26.0606,-9999,-9999
26.213,-9999,2,-9999,26.213,-9999,-9999
26.3654,-9999,2,-9999,26.3654,-9999,-9999
26.5178,-9999,2,-9999,26.5178,-9999,-9999
26.6702,-9999,2,-9999,26.6702,-9999,-9999
26.8226,-9999,2,-9999,26.8226,-9999,-9999
26.975,-9999,2,-9999,26.975,-9999,-9999
27.1274,-9999,2,-9999,27.1274,-9999,-9999
27.2798,-9999,2,-9999,27.2798,-9999,-9999
27.4322,-9999,2,-9999,27.4322,-9999,-9999
27.5846,-9999,2,-9999,27.5846,-9999,-9999
27.737,-9999,2,-9999,27.737,-9999,-9999
27.8894,-9999,2,-9999,27.8894,-9999,-9999
28.0418,-9999,2,-9999,28.0418,-9999,-9999
28.1942,-9999,2,-9999,28.1942,-9999,-9999
28.3466,-9999,2,-9999,28.3466,-9999,-9999
28.499,-9999,2,-9999,28.499,-9999,-9999
28.6514,-9999,2,-9999,28.6514,-9999,-9999
28.8038,-9999,2,-9999,28.8038,-9999,-9999
28.9562,-9999,2,-9999,28.9562,-9999,-9999
29.1086,-9999,2,-9999,29.1086,-9999,-9999
29.261,-9999,2,-9999,29.261,-9999,-9999
29.4134,-9999,2,-9999,29.4134,-9999,-9999
29.5658,-9999,2,-9999,29.5658,-9999,-9999
29.7182,-9999,2,-9999,29.7182,-9999,-9999
29.8706,-9999,2,-9999,29.8706,-9999,-9999
30.023,-9999,2,-9999,30.023,-9999,-9999
30.1754,-9999,2,-9999,30.1754,-9999,-9999
30.3278,-9999,2,-9999,30.3278,-9999,-9999
30.4802,-9999,2,-9999,30.4802,-9999,-9999
30.6326,-9999,2,-9999,30.6326,-9999,-9999
30.785,-9999,2,-9999,30.785,-9999,-9999
30.9374,-9999,2,-9999,30.9374,-9999,-9999
31.0898,-9999,2,-9999,31.0898,-9999,-9999
31.2422,-9999,2,-9999,31.2422,-9999,-9999
31.3946,-9999,2,-9999,31.3946,-9999,-9999
31.547,-9999,2,-9999,31.547,-9999,-9999
31.6994,-9999,2,-9999,31.6994,-9999,-9999
31.8518,-9999,2,-9999,31.8518,-9999,-9999
32.0042,-9999,2,-9999,32.0042,-9999,-9999
32.1566,-9999,2,-9999,32.1566,-9999,-9999
32.309,-9999,2,-9999,32.309,-9999,-9999
32.4614,-9999,2,-9999,32.4614,-9999,-9999
32.6138,-9999,2,-9999,32.6138,-9999,-9999
32.7662,-9999,2,-9999,32.7662,-9999,-9999
32.9186,-9999,2,-9999,32.9186,-9999,-9999
33.071,-9999,2,-9999,33.071,-9999,-9999
33.2234,-9999,2,-9999,33.2234,-9999,-9999
33.3758,-9999,2,-9999,33.3758,-9999,-9999
33.5282,-9999,2,-9999,33.5282,-9999,-9999
33.6806,-9999,2,-9999,33.6806,-9999,-9999
33.833,-9999,2,-9999,33.833,-9999,-9999
33.9854,-9999,2,-9999,33.9854,-9999,-9999
34.1378,-9999,2,-9999,34.1378,-9999,-9999
34.2902,-9999,2,-9999,34.2902,-9999,-9999
34.4426,-9999,2,-9999,34.4426,-9999,-9999
34.595,-9999,2,-9999,34.595,-9999,-9999
34.7474,-9999,2,-9999,34.7474,-9999,-9999
34.8998,-9999,2,-9999,34.8998,-9999,-9999
35.0522,-9999,2,-9999,35.0522,-9999,-9999
35.2046,-9999,2,-9999,35.2046,-9999,-9999
35.357,-9999,2,-9999,35.357,-9999,-9999
35.5094,-9999,2,-9999,35.5094,-9999,-9999
35.6618,-9999,2,-9999,35.6618,-9999,-9999
35.8142,-9999,2,-9999,35.8142,-9999,-9999
35.9666,-9999,2,-9999,35.9666,-9999,-9999
36.119,-9999,2,-9999,36.119,-9999,-9999
36.2714,-9999,2,-9999,36.2714,-9999,-9999
36.4238,-9999,2,-9999,36.4238,-9999,-9999
36.5762,-9999,2,-9999,36.5762,-9999,-9999
36.7286,-9999,2,-9999,36.7286,-9999,-9999
36.881,-9999,2,-9999,36.881,-9999,-9999
37.0334,-9999,2,-9999,37.0334,-9999,-9999
37.1858,-9999,2,-9999,37.1858,-9999,-9999
37.3382,-9999,2,-9999,37.3382,-9999,-9999
37.4906,-9999,2,-9999,37.4906,-9999,-9999
37.643,-9999,2,-9999,37.643,-9999,-9999
37.7954,-9999,2,-9999,37.7954,-9999,-9999
37.9478,-9999,2,-9999,37.9478,-9999,-9999
38.1002,-9999,2,-9999,38.1002,-9999,-9999
38.2526,-9999,2,-9999,38.2526,-9999,-9999
38.405,-9999,2,-9999,38.405,-9999,-9999
38.5574,-9999,2,-9999,38.5574,-9999,-9999
38.7098,-9999,2,-9999,38.7098,-9999,-9999
38.8622,-9999,2,-9999,38.8622,-9999,-9999
39.0146,-9999,2,-9999,39.0146,-9999,-9999
39.167,-9999,2,-9999,39.167,-9999,-9999
39.3194,-9999,2,-9999,39.3194,-9999,-9999
39.4718,-9999,2,-9999,39.4718,-9999,-9999
39.6242,-9999,2,-9999,39.6242,-9999,-9999
39.7766,-9999,2,-9999,39.7766,-9999,-9999
39.929,-9999,2,-9999,39.929,-9999,-9999
40.0814,-9999,2,-9999,40.0814,-9999,-9999
40.2338,-9999,2,-9999,40.2338,-9999,-9999
40.3862,-9999,2,-9999,40.3862,-9999,-9999
40.5386,-9999,2,-9999,40.5386,-9999,-9999
40.691,-9999,2,-9999,40.691,-9999,-9999
40.8434,-9999,2,-9999,40.8434,-9999,-9999
40.9958,-9999,2,-9999,40.9958,-9999,-9999
41.1482,-9999,2,-9999,41.1482,-9999,-9999
41.3006,-9999,2,-9999,41.3006,-9999,-9999
41.453,-9999,2,-9999,41.453,-9999,-9999
41.6054,-9999,2,-9999,41.6054,-9999,-9999
41.7578,-9999,2,-9999,41.7578,-9999,-9999
41.9102,-9999,2,-9999,41.9102,-9999,-9999
42.0626,-9999,2,-9999,42.0626,-9999,-9999
42.215,-9999,2,-9999,42.215,-9999,-9999
42.3674,-9999,2,-9999,42.3674,-9999,-9999
42.5198,-9999,2,-9999,42.5198,-9999,-9999
42.6722,-9999,2,-9999,42.6722,-9999,-9999
42.8246,-9999,2,-9999,42.8246,-9999,-9999
42.977,-9999,2,-9999,42.977,-9999,-9999
43.1294,-9999,2,-9999,43.1294,-9999,-9999
43.2818,-9999,2,-9999,43.2818,-9999,-9999
43.4342,-9999,2,-9999,43.4342,-9999,-9999
43.5866,-9999,2,-9999,43.5866,-9999,-9999
43.739,-9999,2,-9999,43.739,-9999,-9999
43.8914,-9999,2,-9999,43.8914,-9999,-9999
44.0438,-9999,2,-9999,44.0438,-9999,-9999
44.1962,-9999,2,-9999,44.1962,-9999,-9999
44.3486,-9999,2,-9999,44.3486,-9999,-9999
44.501,-9999,2,-9999,44.501,-9999,-9999
44.6534,-9999,2,-9999,44.6534,-9999,-9999
44.8058,-9999,2,-9999,44.8058,-9999,-9999
44.9582,-9999,2,-9999,44.9582,-9999,-9999
45.1106,-9999,2,-9999,45.1106,-9999,-9999
45.263,-9999,2,-9999,45.263,-9999,-9999
45.4154,-9999,2,-9999,45.4154,-9999,-9999
45.5678,-9999,2,-9999,45.5678,-9999,-9999
45.7202,-9999,2,-9999,45.7202,-9999,-9999
45.8726,-9999,2,-9999,45.8726,-9999,-9999
46.025,-9999,2,-9999,46.025,-9999,-9999
46.1774,-9999,2,-9999,46.1774,-9999,-9999
46.3298,-9999,2,-9999,46.3298,-9999,-9999
46.4822,-9999,2,-9999,46.4822,-9999,-9999
46.6346,-9999,2,-9999,46.6346,-9999,-9999
46.787,-9999,2,-9999,46.7869,-9999,-9999
46.9394,-9999,2,-9999,46.9393,-9999,-9999
47.0918,-9999,2,-9999,47.0917,-9999,-9999
47.2442,-9999,2,-9999,47.2441,-9999,-9999
47.3966,-9999,2,-9999,47.3965,-9999,-9999
47.549,-9999,2,-9999,47.5489,-9999,-9999
47.7014,-9999,2,-9999,47.7013,-9999,-9999
47.8538,-9999,2,-9999,47.8537,-9999,-9999
48.0062,-9999,2,-9999,48.0061,-9999,-9999
48.1586,-9999,2,-9999,48.1585,-9999,-9999
48.311,-9999,2,-9999,48.3109,-9999,-9999
48.4634,-9999,2,-9999,48.4633,-9999,-9999
48.6158,-9999,2,-9999,48.6157,-9999,-9999
48.7682,-9999,2,-9999,48.7681,-9999,-9999
48.9206,-9999,2,-9999,48.9205,-9999,-9999
49.073,-9999,2,-9999,49.0729,-9999,-9999
49.2254,-9999,2,-9999,49.2253,-9999,-9999
49.3778,-9999,2,-9999,49.3777,-9999,-9999
49.5302,-9999,2,-9999,49.5301,-9999,-9999
49.6826,-9999,2,-9999,49.6825,-9999,-9999
49.835,-9999,2,-9999,49.8349,-9999,-9999
49.9874,-9999,2,-9999,49.9873,-9999,-9999
50.1398,-9999,2,-9999,50.1397,-9999,-9999
50.2922,-9999,2,-9999,50.2921,-9999,-9999
50.4446,-9999,2,-9999,50.4445,-9999,-9999
50.597,-9999,2,-9999,50.5969,-9999,-9999
50.7494,-9999,2,-9999,50.7493,-9999,-9999
50.9018,-9999,2,-9999,50.9017,-9999,-9999
51.0542,-9999,2,-9999,51.0541,-9999,-9999
51.2066,-9999,2,-9999,51.2065,-9999,-9999
51.359,-9999,2,-9999,51.3589,-9999,-9999
51.5114,-9999,2,-9999,51.5113,-9999,-9999
51.6638,-9999,2,-9999,51.6637,-9999,-9999
51.8162,-9999,2,-9999,51.8161,-9999,-9999
51.9686,-9999,2,-9999,51.9685,-9999,-9999
52.121,-9999,2,-9999,52.1209,-9999,-9999
52.2734,-9999,2,-9999,52.2733,-9999,-9999
52.4258,-9999,2,-9999,52.4257,-9999,-9999
52.5782,-9999,2,-9999,52.5781,-9999,-9999
52.7306,-9999,2,-9999,52.7305,-9999,-9999
52.883,-9999,2,-9999,52.8829,-9999,-9999
53.0354,-9999,2,-9999,53.0353,-9999,-9999
53.1878,-9999,2,-9999,53.1877,-9999,-9999
53.3402,-9999,2,-9999,53.3401,-9999,-9999
53.4926,-9999,2,-9999,53.4925,-9999,-9999
53.645,-9999,2,-9999,53.6449,-9999,-9999
53.7974,-9999,2,-9999,53.7973,-9999,-9999
53.9498,-9999,2,-9999,53.9497,-9999,-9999
54.1022,-9999,2,-9999,54.1021,-9999,-9999
54.2546,-9999,2,-9999,54.2545,-9999,-9999
54.407,-9999,2,-9999,54.4069,-9999,-9999
54.5594,-9999,2,-9999,54.5593,-9999,-9999
54.7118,-9999,2,-9999,54.7117,-9999,-9999
54.8642,-9999,2,-9999,54.8641,-9999,-9999
55.0166,-9999,2,-9999,55.0165,-9999,-9999
55.169,-9999,2,-9999,55.1689,-9999,-9999
55.3214,-9999,2,-9999,55.3213,-9999,-9999
55.4738,-9999,2,-9999,55.4737,-9999,-9999
55.6262,-9999,2,-9999,55.6261,-9999,-9999
55.7786,-9999,2,-9999,55.7785,-9999,-9999
55.931,-9999,2,-9999,55.9309,-9999,-9999
56.0834,-9999,2,-9999,56.0833,-9999,-9999
56.2358,-9999,2,-9999,56.2357,-9999,-9999
56.3882,-9999,2,-9999,56.3881,-9999,-9999
56.5406,-9999,2,-9999,56.5405,-9999,-9999
56.693,-9999,2,-9999,56.6929,-9999,-9999
56.8454,-9999,2,-9999,56.8453,-9999,-9999
56.9978,-9999,2,-9999,56.9977,-9999,-9999
57.1502,-9999,2,-9999,57.1501,-9999,-9999
57.3026,-9999,2,-9999,57.3025,-9999,-9999
57.455,-9999,2,-9999,57.4549,-9999,-9999
57.6074,-9999,2,-9999,57.6073,-9999,-9999
57.7598,-9999,2,-9999,57.7597,-9999,-9999
57.9122,-9999,2,-9999,57.9121,-9999,-9999
58.0646,-9999,2,-9999,58.0645,-9999,-9999
58.217,-9999,2,-9999,58.2169,-9999,-9999
58.3694,-9999,2,-9999,58.3693,-9999,-9999
